Year; Week; Age Group;A (H1);A (Unable to Subtype);A (H3);A (H1N1)pdm09;A (Subtyping not Performed);B (Victoria Lineage);B (Yamagata Lineage);B (Lineage Unspecified);H3N2v
2011;13;5-24 yr;0;0;36;44;0;0;0;76;0
2011;14;5-24 yr;0;0;34;17;1;0;0;66;0
2011;15;5-24 yr;0;0;16;7;0;0;0;39;0
2011;16;5-24 yr;0;0;10;7;3;0;0;20;0
2011;17;5-24 yr;0;0;4;4;1;0;0;11;0
2011;18;5-24 yr;0;0;6;2;0;0;0;5;0
2011;19;5-24 yr;0;0;2;1;0;0;0;2;0
2011;20;5-24 yr;0;0;2;0;0;0;0;3;0
2011;21;5-24 yr;0;0;0;0;1;0;0;3;0
2011;22;5-24 yr;0;0;0;0;0;0;0;0;0
2011;23;5-24 yr;0;0;0;0;0;0;0;2;0
2011;24;5-24 yr;0;0;0;1;0;0;0;0;0
2011;25;5-24 yr;0;0;0;0;0;0;0;0;0
2011;26;5-24 yr;0;0;0;1;0;0;0;0;0
2011;27;5-24 yr;0;0;0;1;0;0;0;0;0
2011;28;5-24 yr;0;0;2;0;1;0;0;1;0
2011;29;5-24 yr;0;0;0;0;0;0;0;1;0
2011;30;5-24 yr;0;0;0;0;0;0;0;0;0
2011;31;5-24 yr;0;0;0;0;0;0;0;0;0
2011;32;5-24 yr;0;0;0;0;0;0;0;0;0
2011;33;5-24 yr;0;0;1;0;0;0;0;1;0
2011;34;5-24 yr;0;0;0;0;1;0;0;1;0
2011;35;5-24 yr;0;0;1;1;0;0;0;0;0
2011;36;5-24 yr;0;0;1;0;0;0;0;1;0
2011;37;5-24 yr;0;0;1;0;1;0;0;1;0
2011;38;5-24 yr;0;0;1;0;2;0;0;1;0
2011;39;5-24 yr;0;0;3;0;0;0;0;1;0
2010;40;25-64 yr;0;0;3;4;0;0;0;2;0
2010;41;25-64 yr;0;0;12;4;0;0;0;5;0
2010;42;25-64 yr;0;0;6;3;0;0;0;3;0
2010;43;25-64 yr;0;0;19;4;2;0;0;4;0
2010;44;25-64 yr;0;0;13;7;0;0;0;4;0
2010;45;25-64 yr;0;0;18;7;0;0;0;3;0
2010;46;25-64 yr;0;0;31;6;1;0;0;9;0
2010;47;25-64 yr;0;0;35;4;0;0;0;8;0
2010;48;25-64 yr;0;0;49;10;1;0;0;25;0
2010;49;25-64 yr;0;0;76;12;0;0;0;25;0
2010;50;25-64 yr;0;0;115;28;8;0;0;28;0
2010;51;25-64 yr;0;0;203;42;12;0;0;53;0
2010;52;25-64 yr;0;0;290;79;7;0;0;71;0
2011;1;25-64 yr;0;0;314;157;6;0;0;72;0
2011;2;25-64 yr;0;0;298;203;9;0;0;65;0
2011;3;25-64 yr;0;0;350;292;5;0;0;70;0
2011;4;25-64 yr;0;0;386;356;11;0;0;86;0
2011;5;25-64 yr;0;0;361;418;16;0;0;112;0
2011;6;25-64 yr;1;0;377;426;12;0;0;111;0
2011;7;25-64 yr;0;0;397;502;19;0;0;137;0
2011;8;25-64 yr;0;0;316;456;9;0;0;126;0
2011;9;25-64 yr;0;0;272;349;3;0;0;118;0
2011;10;25-64 yr;0;0;210;265;10;0;0;76;0
2011;11;25-64 yr;0;0;137;196;5;0;0;58;0
2011;12;25-64 yr;0;0;95;99;2;0;0;48;0
2011;13;25-64 yr;0;0;68;75;3;0;0;26;0
2011;14;25-64 yr;0;0;60;37;2;0;0;45;0
2011;15;25-64 yr;0;0;31;17;0;0;0;23;0
2011;16;25-64 yr;0;0;13;12;1;0;0;8;0
2011;17;25-64 yr;0;0;4;1;0;0;0;8;0
2011;18;25-64 yr;0;0;5;6;0;0;0;3;0
2011;19;25-64 yr;0;0;2;0;0;0;0;0;0
2011;20;25-64 yr;0;0;2;0;1;0;0;2;0
2011;21;25-64 yr;0;0;1;2;0;0;0;0;0
2011;22;25-64 yr;0;0;0;0;0;0;0;1;0
2011;23;25-64 yr;0;0;0;0;0;0;0;0;0
2011;24;25-64 yr;0;0;0;1;0;0;0;0;0
2011;25;25-64 yr;0;0;0;0;0;0;0;0;0
2011;26;25-64 yr;0;0;0;1;0;0;0;0;0
2011;27;25-64 yr;0;0;0;0;0;0;0;0;0
2011;28;25-64 yr;0;0;1;0;0;0;0;0;0
2011;29;25-64 yr;0;0;1;0;0;0;0;1;0
2011;30;25-64 yr;0;0;0;0;0;0;0;0;0
2011;31;25-64 yr;0;0;1;3;0;0;0;1;0
2011;32;25-64 yr;0;0;1;1;0;0;0;0;0
2011;33;25-64 yr;0;0;1;1;0;0;0;1;0
2011;34;25-64 yr;0;0;0;0;0;0;0;2;0
2011;35;25-64 yr;0;0;2;1;0;0;0;0;0
2011;36;25-64 yr;0;0;2;1;0;0;0;1;0
2011;37;25-64 yr;0;0;4;0;0;0;0;0;0
2011;38;25-64 yr;0;0;2;0;0;0;0;0;0
2011;39;25-64 yr;0;0;8;1;0;0;0;1;0
2010;40;65+ yr;0;0;5;0;0;0;0;0;0
2010;41;65+ yr;0;0;2;1;0;0;0;0;0
2010;42;65+ yr;0;0;6;0;0;0;0;2;0
2010;43;65+ yr;0;0;3;0;0;0;0;2;0
2010;44;65+ yr;0;0;6;0;0;0;0;2;0
2010;45;65+ yr;0;0;4;0;0;0;0;3;0
2010;46;65+ yr;0;0;7;0;0;0;0;0;0
2010;47;65+ yr;0;0;18;0;0;0;0;5;0
2010;48;65+ yr;0;0;16;3;0;0;0;8;0
2010;49;65+ yr;0;0;25;0;0;0;0;7;0
2010;50;65+ yr;0;0;59;3;2;0;0;10;0
2010;51;65+ yr;0;0;79;3;2;0;0;20;0
2010;52;65+ yr;0;0;179;7;5;0;0;17;0
2011;1;65+ yr;0;0;194;8;6;0;0;23;0
2011;2;65+ yr;0;0;202;11;6;0;0;17;0
2011;3;65+ yr;0;0;206;21;2;0;0;10;0
2011;4;65+ yr;0;0;245;35;9;0;0;22;0
2011;5;65+ yr;0;0;262;41;9;0;0;28;0
2011;6;65+ yr;0;0;237;45;6;0;0;34;0
2011;7;65+ yr;0;0;351;53;6;0;0;30;0
2011;8;65+ yr;0;0;306;33;7;0;0;37;0
2011;9;65+ yr;0;0;318;49;2;0;0;27;0
2011;10;65+ yr;0;0;264;18;7;0;0;24;0
2011;11;65+ yr;0;0;222;16;4;0;0;24;0
2011;12;65+ yr;0;0;171;9;5;0;0;21;0
2011;13;65+ yr;0;0;101;8;6;0;0;7;0
2011;14;65+ yr;0;0;78;10;2;0;0;18;0
2011;15;65+ yr;0;0;59;4;0;0;0;15;0
2011;16;65+ yr;0;0;20;2;1;0;0;6;0
2011;17;65+ yr;0;0;11;1;1;0;0;5;0
2011;18;65+ yr;0;0;11;0;1;0;0;0;0
2011;19;65+ yr;0;0;4;0;0;0;0;1;0
2011;20;65+ yr;0;0;1;0;0;0;0;0;0
2011;21;65+ yr;0;0;2;0;0;0;0;0;0
2011;22;65+ yr;0;0;0;0;0;0;0;1;0
2011;23;65+ yr;0;0;0;0;0;0;0;0;0
2011;24;65+ yr;0;0;0;0;0;0;0;0;0
2011;25;65+ yr;0;0;0;0;0;0;0;0;0
2011;26;65+ yr;0;0;0;0;0;0;0;0;0
2011;27;65+ yr;0;0;1;0;0;0;0;0;0
2011;28;65+ yr;0;0;0;0;0;0;0;0;0
2011;29;65+ yr;0;0;0;0;0;0;0;0;0
2011;30;65+ yr;0;0;0;0;0;0;0;0;0
2011;31;65+ yr;0;0;0;0;0;0;0;0;0
2011;32;65+ yr;0;0;1;0;0;0;0;0;0
2011;33;65+ yr;0;0;2;1;0;0;0;0;0
2011;34;65+ yr;0;0;2;0;0;0;0;0;0
2011;35;65+ yr;0;0;0;0;0;0;0;0;0
2011;36;65+ yr;0;0;0;0;0;0;0;0;0
2011;37;65+ yr;0;0;1;0;0;0;0;0;0
2011;38;65+ yr;0;0;0;0;0;0;0;1;0
2011;39;65+ yr;0;0;4;0;0;0;0;0;0
2009;40;0-4 yr;1;0;0;179;2;0;0;0;0
2009;41;0-4 yr;0;1;1;233;0;0;0;0;0
2009;42;0-4 yr;0;0;0;238;5;0;0;0;0
2009;43;0-4 yr;1;0;0;278;7;0;0;1;0
2009;44;0-4 yr;2;0;1;375;14;0;0;1;0
2009;45;0-4 yr;1;0;0;731;20;0;0;2;0
2009;46;0-4 yr;0;3;0;965;37;0;0;4;0
2009;47;0-4 yr;0;3;0;1151;78;0;0;2;0
2009;48;0-4 yr;0;4;0;975;70;0;0;2;0
2009;49;0-4 yr;0;1;0;692;47;0;0;5;0
2009;50;0-4 yr;0;3;0;598;32;0;0;1;0
2009;51;0-4 yr;1;0;0;331;10;0;0;2;0
2009;52;0-4 yr;0;0;0;157;8;0;0;0;0
2009;53;0-4 yr;0;0;0;139;6;0;0;2;0
2009;54;0-4 yr;0;1;0;71;3;0;0;0;0
2009;55;0-4 yr;0;1;0;49;1;0;0;1;0
2009;56;0-4 yr;0;0;0;34;4;0;0;0;0
2009;57;0-4 yr;0;0;0;22;1;0;0;0;0
2010;1;0-4 yr;0;0;0;37;0;0;0;0;0
2010;2;0-4 yr;0;0;1;29;0;0;0;0;0
2010;3;0-4 yr;0;0;0;32;0;0;0;1;0
2010;4;0-4 yr;0;0;0;28;1;0;0;0;0
2010;5;0-4 yr;0;0;0;31;0;0;0;0;0
2010;6;0-4 yr;0;0;0;22;1;0;0;1;0
2010;7;0-4 yr;0;0;0;29;1;0;0;2;0
2010;8;0-4 yr;0;0;1;40;1;0;0;0;0
2010;9;0-4 yr;0;0;0;24;2;0;0;1;0
2010;10;0-4 yr;0;0;0;37;1;0;0;1;0
2010;11;0-4 yr;0;0;0;43;0;0;0;0;0
2010;12;0-4 yr;0;0;0;16;0;0;0;0;0
2010;13;0-4 yr;0;0;0;16;0;0;0;0;0
2010;14;0-4 yr;0;0;0;7;0;0;0;0;0
2010;15;0-4 yr;0;0;0;3;0;0;0;0;0
2010;16;0-4 yr;0;0;1;3;0;0;0;0;0
2010;17;0-4 yr;0;0;0;1;0;0;0;0;0
2010;18;0-4 yr;0;0;0;0;0;0;0;0;0
2010;19;0-4 yr;0;0;0;0;0;0;0;0;0
2010;20;0-4 yr;0;1;0;0;0;0;0;0;0
2010;21;0-4 yr;0;0;0;0;0;0;0;0;0
2010;22;0-4 yr;0;0;0;0;0;0;0;0;0
2010;23;0-4 yr;0;0;1;0;0;0;0;1;0
2010;24;0-4 yr;0;0;2;0;0;0;0;0;0
2010;25;0-4 yr;0;0;1;0;0;0;0;0;0
2010;26;0-4 yr;0;0;0;0;0;0;0;0;0
2010;27;0-4 yr;0;0;0;0;0;0;0;0;0
2010;28;0-4 yr;0;0;1;0;0;0;0;0;0
2010;29;0-4 yr;0;0;0;0;0;0;0;0;0
2010;30;0-4 yr;0;0;1;0;0;0;0;0;0
2010;31;0-4 yr;0;0;2;0;0;0;0;0;0
2010;32;0-4 yr;0;0;1;0;0;0;0;0;0
2010;33;0-4 yr;0;0;1;0;0;0;0;0;0
2010;34;0-4 yr;0;0;2;0;0;0;0;2;0
2010;35;0-4 yr;0;0;2;0;0;0;0;0;0
2010;36;0-4 yr;0;0;5;3;0;0;0;1;0
2010;37;0-4 yr;1;0;3;0;0;0;0;0;0
2010;38;0-4 yr;0;0;8;0;1;0;0;1;0
2010;39;0-4 yr;0;0;3;0;0;0;0;1;0
2009;40;5-24 yr;3;11;5;1064;49;0;0;1;0
2009;41;5-24 yr;3;3;4;1189;19;0;0;3;0
2009;42;5-24 yr;1;4;0;1284;33;0;0;1;0
2009;43;5-24 yr;0;13;2;1431;40;0;0;2;0
2009;44;5-24 yr;2;13;2;1952;42;0;0;1;0
2009;45;5-24 yr;0;8;1;2841;95;0;0;6;0
2009;46;5-24 yr;0;4;0;3200;138;0;0;5;0
2009;47;5-24 yr;2;5;2;3464;111;0;0;9;0
2009;48;5-24 yr;0;12;2;2411;83;0;0;1;0
2009;49;5-24 yr;1;5;1;1900;57;0;0;4;0
2009;50;5-24 yr;1;3;0;1374;32;0;0;3;0
2009;51;5-24 yr;0;5;0;729;18;0;0;2;0
2009;52;5-24 yr;1;2;1;332;11;0;0;0;0
2009;53;5-24 yr;0;2;0;230;11;0;0;1;0
2009;54;5-24 yr;0;0;1;142;7;0;0;0;0
2009;55;5-24 yr;0;2;0;131;6;0;0;3;0
2009;56;5-24 yr;0;0;0;69;0;0;0;0;0
2009;57;5-24 yr;0;1;0;62;0;0;0;0;0
2010;1;5-24 yr;0;1;0;69;1;0;0;1;0
2010;2;5-24 yr;0;1;0;76;1;0;0;2;0
2010;3;5-24 yr;0;1;0;115;1;0;0;0;0
2010;4;5-24 yr;0;0;1;106;3;0;0;2;0
2010;5;5-24 yr;0;0;0;127;2;0;0;1;0
2010;6;5-24 yr;0;0;0;96;1;0;0;4;0
2010;7;5-24 yr;0;0;0;89;1;0;0;1;0
2010;8;5-24 yr;0;0;0;119;1;0;0;0;0
2010;9;5-24 yr;0;0;0;114;1;0;0;0;0
2010;10;5-24 yr;0;0;0;138;0;0;0;2;0
2010;11;5-24 yr;0;0;0;72;3;0;0;0;0
2010;12;5-24 yr;0;0;0;65;0;0;0;2;0
2010;13;5-24 yr;0;0;1;50;0;0;0;1;0
2010;14;5-24 yr;0;0;0;35;0;0;0;1;0
2010;15;5-24 yr;0;0;1;17;1;0;0;4;0
2010;16;5-24 yr;0;0;0;7;0;0;0;9;0
2010;17;5-24 yr;0;0;0;5;0;0;0;2;0
2010;18;5-24 yr;0;0;0;7;0;0;0;1;0
2010;19;5-24 yr;0;0;0;2;0;0;0;1;0
2010;20;5-24 yr;0;0;0;3;0;0;0;2;0
2010;21;5-24 yr;0;0;0;0;0;0;0;1;0
2010;22;5-24 yr;0;0;0;1;0;0;0;1;0
2010;23;5-24 yr;0;0;0;0;0;0;0;0;0
2010;24;5-24 yr;0;0;1;0;0;0;0;1;0
2010;25;5-24 yr;0;0;0;1;0;0;0;0;0
2010;26;5-24 yr;0;0;0;0;0;0;0;0;0
2010;27;5-24 yr;0;0;2;0;0;0;0;0;0
2010;28;5-24 yr;0;0;3;1;0;0;0;0;0
2010;29;5-24 yr;0;0;1;3;0;0;0;1;0
2010;30;5-24 yr;0;0;2;0;1;0;0;1;0
2010;31;5-24 yr;0;0;2;0;0;0;0;0;0
2010;32;5-24 yr;0;0;0;4;0;0;0;8;0
2010;33;5-24 yr;0;0;2;0;0;0;0;0;0
2010;34;5-24 yr;0;0;2;6;0;0;0;1;0
2010;35;5-24 yr;0;0;2;1;0;0;0;1;0
2010;36;5-24 yr;0;0;3;4;0;0;0;2;0
2010;37;5-24 yr;0;0;3;2;0;0;0;5;0
2010;38;5-24 yr;0;0;6;0;0;0;0;6;0
2010;39;5-24 yr;0;0;5;0;0;0;0;3;0
2009;40;25-64 yr;4;5;6;343;11;0;0;0;0
2009;41;25-64 yr;1;3;0;422;14;0;0;2;0
2009;42;25-64 yr;2;4;1;640;17;0;0;0;0
2009;43;25-64 yr;1;11;3;640;9;0;0;0;0
2009;44;25-64 yr;2;11;0;806;22;0;0;0;0
2009;45;25-64 yr;0;10;1;1406;41;0;0;0;0
2009;46;25-64 yr;0;10;0;1976;92;0;0;1;0
2009;47;25-64 yr;0;18;1;2394;126;0;0;4;0
2009;48;25-64 yr;1;18;0;2030;121;0;0;1;0
2009;49;25-64 yr;1;13;0;1692;84;0;0;7;0
2009;50;25-64 yr;1;11;1;1432;39;0;0;1;0
2009;51;25-64 yr;0;14;0;935;25;0;0;0;0
2009;52;25-64 yr;0;6;1;525;19;0;0;0;0
2009;53;25-64 yr;0;6;0;354;15;0;0;0;0
2009;54;25-64 yr;1;6;1;235;5;0;0;0;0
2009;55;25-64 yr;0;1;1;154;7;0;0;1;0
2009;56;25-64 yr;0;1;0;82;5;0;0;0;0
2009;57;25-64 yr;0;0;0;123;2;0;0;3;0
2010;1;25-64 yr;0;2;0;108;5;0;0;2;0
2010;2;25-64 yr;1;1;1;96;3;0;0;2;0
2010;3;25-64 yr;0;1;0;97;0;0;0;0;0
2010;4;25-64 yr;0;0;0;79;0;0;0;1;0
2010;5;25-64 yr;0;0;0;96;3;0;0;2;0
2010;6;25-64 yr;1;0;0;82;2;0;0;0;0
2010;7;25-64 yr;0;0;0;95;2;0;0;1;0
2010;8;25-64 yr;0;0;0;124;2;0;0;0;0
2010;9;25-64 yr;0;0;0;125;2;0;0;0;0
2010;10;25-64 yr;0;0;0;131;4;0;0;3;0
2010;11;25-64 yr;0;0;0;109;4;0;0;0;0
2010;12;25-64 yr;0;0;1;69;1;0;0;2;0
2010;13;25-64 yr;0;0;0;68;1;0;0;0;0
2010;14;25-64 yr;0;0;0;45;3;0;0;0;0
2010;15;25-64 yr;0;0;1;22;0;0;0;2;0
2010;16;25-64 yr;0;0;1;5;0;0;0;0;0
2010;17;25-64 yr;0;0;0;7;0;0;0;0;0
2010;18;25-64 yr;0;0;1;10;0;0;0;1;0
2010;19;25-64 yr;0;0;2;3;0;0;0;2;0
2010;20;25-64 yr;0;0;0;1;0;0;0;0;0
2010;21;25-64 yr;0;0;0;0;0;0;0;0;0
2010;22;25-64 yr;0;0;0;2;0;0;0;1;0
2010;23;25-64 yr;0;0;0;1;0;0;0;1;0
2010;24;25-64 yr;0;0;0;1;0;0;0;0;0
2010;25;25-64 yr;0;0;3;2;0;0;0;0;0
2010;26;25-64 yr;0;0;1;1;0;0;0;0;0
2010;27;25-64 yr;0;0;1;1;0;0;0;0;0
2010;28;25-64 yr;0;0;3;0;0;0;0;0;0
2010;29;25-64 yr;0;0;0;0;0;0;0;2;0
2010;30;25-64 yr;0;0;5;1;0;0;0;1;0
2010;31;25-64 yr;0;0;3;3;0;0;0;1;0
2010;32;25-64 yr;0;0;3;3;1;0;0;0;0
2010;33;25-64 yr;0;0;2;1;0;0;0;0;0
2010;34;25-64 yr;0;0;7;2;0;0;0;1;0
2010;35;25-64 yr;0;0;4;5;0;0;0;0;0
2010;36;25-64 yr;0;0;5;1;0;0;0;0;0
2010;37;25-64 yr;0;0;16;3;0;0;0;0;0
2010;38;25-64 yr;0;0;13;0;1;0;0;1;0
2010;39;25-64 yr;0;0;6;2;0;0;0;3;0
2009;40;65+ yr;1;1;0;17;2;0;0;0;0
2009;41;65+ yr;0;1;0;33;1;0;0;0;0
2009;42;65+ yr;0;1;0;54;2;0;0;0;0
2009;43;65+ yr;0;0;1;38;1;0;0;0;0
2009;44;65+ yr;2;0;1;77;1;0;0;1;0
2009;45;65+ yr;0;0;0;130;4;0;0;0;0
2009;46;65+ yr;0;1;0;292;12;0;0;0;0
2009;47;65+ yr;1;1;1;275;12;0;0;0;0
2009;48;65+ yr;0;3;0;354;19;0;0;1;0
2009;49;65+ yr;0;2;1;226;5;0;0;1;0
2009;50;65+ yr;0;4;0;189;8;0;0;0;0
2009;51;65+ yr;0;2;0;213;8;0;0;0;0
2009;52;65+ yr;0;1;0;126;6;0;0;0;0
2009;53;65+ yr;0;1;0;61;4;0;0;0;0
2009;54;65+ yr;0;0;1;36;2;0;0;0;0
2009;55;65+ yr;0;1;2;28;1;0;0;0;0
2009;56;65+ yr;0;0;0;13;1;0;0;0;0
2009;57;65+ yr;0;0;1;17;2;0;0;1;0
2010;1;65+ yr;0;0;1;11;3;0;0;0;0
2010;2;65+ yr;0;0;1;7;1;0;0;0;0
2010;3;65+ yr;0;0;0;7;1;0;0;0;0
2010;4;65+ yr;0;0;2;6;1;0;0;0;0
2010;5;65+ yr;0;0;0;5;0;0;0;0;0
2010;6;65+ yr;0;0;0;10;1;0;0;0;0
2010;7;65+ yr;0;0;0;7;1;0;0;2;0
2010;8;65+ yr;0;0;0;10;0;0;0;1;0
2010;9;65+ yr;0;0;0;11;0;0;0;0;0
2010;10;65+ yr;0;0;0;8;1;0;0;0;0
2010;11;65+ yr;0;0;0;10;1;0;0;0;0
2010;12;65+ yr;0;0;0;5;1;0;0;0;0
2010;13;65+ yr;0;0;0;11;0;0;0;0;0
2010;14;65+ yr;0;0;1;3;2;0;0;0;0
2010;15;65+ yr;0;0;0;0;0;0;0;0;0
2010;16;65+ yr;0;0;0;1;0;0;0;2;0
2010;17;65+ yr;0;0;0;0;0;0;0;0;0
2010;18;65+ yr;0;0;0;0;0;0;0;0;0
2010;19;65+ yr;0;0;0;0;0;0;0;0;0
2010;20;65+ yr;0;0;1;0;0;0;0;0;0
2010;21;65+ yr;0;0;0;0;0;0;0;1;0
2010;22;65+ yr;0;0;0;0;0;0;0;0;0
2010;23;65+ yr;0;0;0;0;0;0;0;0;0
2010;24;65+ yr;0;0;0;0;0;0;0;0;0
2010;25;65+ yr;0;0;0;0;0;0;0;0;0
2010;26;65+ yr;0;0;0;0;0;0;0;0;0
2010;27;65+ yr;0;0;1;0;0;0;0;0;0
2010;28;65+ yr;0;0;0;0;0;0;0;0;0
2010;29;65+ yr;0;0;1;0;0;0;0;0;0
2010;30;65+ yr;0;0;4;0;0;0;0;0;0
2010;31;65+ yr;0;0;1;1;0;0;0;0;0
2010;32;65+ yr;0;0;5;0;0;0;0;0;0
2010;33;65+ yr;0;0;3;1;0;0;0;0;0
2010;34;65+ yr;0;0;4;0;0;0;0;0;0
2010;35;65+ yr;0;0;4;0;0;0;0;0;0
2010;36;65+ yr;0;0;1;0;0;0;0;0;0
2010;37;65+ yr;0;0;5;0;0;0;0;0;0
2010;38;65+ yr;0;0;2;0;1;0;0;0;0
2010;39;65+ yr;0;0;2;0;0;0;0;1;0
2008;40;0-4 yr;1;0;0;0;0;0;0;1;0
2008;41;0-4 yr;2;0;3;0;1;0;0;1;0
2008;42;0-4 yr;1;0;0;0;0;0;0;1;0
2008;43;0-4 yr;5;0;0;0;0;0;0;0;0
2008;44;0-4 yr;9;0;0;0;0;0;0;0;0
2008;45;0-4 yr;5;0;1;0;0;0;0;1;0
2008;46;0-4 yr;3;0;1;0;0;0;0;0;0
2008;47;0-4 yr;6;0;0;0;0;0;0;5;0
2008;48;0-4 yr;8;0;0;0;0;0;0;2;0
2009;1;0-4 yr;11;0;1;0;0;0;0;1;0
2009;2;0-4 yr;12;0;1;0;0;0;0;1;0
2009;3;0-4 yr;15;0;1;0;0;0;0;1;0
2009;4;0-4 yr;11;0;3;0;3;0;0;3;0
2009;5;0-4 yr;16;0;1;0;2;0;0;7;0
2009;6;0-4 yr;22;0;3;0;6;0;0;5;0
2009;7;0-4 yr;39;0;4;0;9;0;0;3;0
2009;8;0-4 yr;40;0;7;0;7;0;0;10;0
2009;9;0-4 yr;74;0;9;0;10;0;0;12;0
2009;10;0-4 yr;83;0;9;0;7;0;0;18;0
2009;11;0-4 yr;116;0;9;0;8;0;0;27;0
2009;12;0-4 yr;137;1;8;0;11;0;0;41;0
2009;13;0-4 yr;116;0;10;0;20;0;0;58;0
2009;14;0-4 yr;82;0;10;0;10;0;0;66;0
